Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR33578277,AMPLICON,600,62022980,PRJNA1242518,SAMN47595378,Metagenome or environmental,44822620,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808346,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,lbh3912,not applicable,missing,S96,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S96,Human feces,SRP585476,not applicable
SRR33578278,AMPLICON,600,67592083,PRJNA1242518,SAMN47595377,Metagenome or environmental,48807013,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808345,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,lyl8362,not applicable,missing,S95,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S95,Human feces,SRP585476,not applicable
SRR33578279,AMPLICON,600,105446945,PRJNA1242518,SAMN47595376,Metagenome or environmental,76723425,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808344,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kkr 8296,not applicable,missing,S94,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S94,Human feces,SRP585476,not applicable
SRR33578280,AMPLICON,600,77530110,PRJNA1242518,SAMN47595375,Metagenome or environmental,56201126,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808343,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kmj 8332,not applicable,missing,S93,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S93,Human feces,SRP585476,not applicable
SRR33578281,AMPLICON,600,73050298,PRJNA1242518,SAMN47595294,Metagenome or environmental,53171177,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808342,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jmy2122,not applicable,missing,S12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S12,Human feces,SRP585476,not applicable
SRR33578282,AMPLICON,600,88370228,PRJNA1242518,SAMN47595374,Metagenome or environmental,64288551,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808341,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,KMS 7627,not applicable,missing,S92,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S92,Human feces,SRP585476,not applicable
SRR33578283,AMPLICON,600,95373149,PRJNA1242518,SAMN47595373,Metagenome or environmental,69122696,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808340,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,KSO 6575,not applicable,missing,S91,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S91,Human feces,SRP585476,not applicable
SRR33578284,AMPLICON,600,61110469,PRJNA1242518,SAMN47595372,Metagenome or environmental,44424674,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808339,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,PHS 0827,not applicable,missing,S90,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S90,Human feces,SRP585476,not applicable
SRR33578285,AMPLICON,600,79364131,PRJNA1242518,SAMN47595371,Metagenome or environmental,57763549,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808338,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kns 5620,not applicable,missing,S89,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S89,Human feces,SRP585476,not applicable
SRR33578286,AMPLICON,600,68065864,PRJNA1242518,SAMN47595370,Metagenome or environmental,49542168,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808337,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,yjm 7531,not applicable,missing,S88,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S88,Human feces,SRP585476,not applicable
SRR33578287,AMPLICON,599,73083883,PRJNA1242518,SAMN47595369,Metagenome or environmental,52570041,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808336,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kys 2781,not applicable,missing,S87,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S87,Human feces,SRP585476,not applicable
